name,region,division,state,popObese,pctObese,pctPark,income,,
Alabama,3,6,1,1198253,33,14.7,36036,,
Alaska,4,9,2,148425,25.7,41.7,52269,,
Arizona,4,8,4,1118247,26,38.0,36788,,
Arkansas,3,7,5,720707,34.5,15.3,36291,,
California,4,9,6,6245664,25,58.3,47614,,
Colorado,4,8,8,764921,20.5,59.5,46402,,
Connecticut,1,1,9,662834,25.6,34.6,62738,,
Delaware,3,5,10,198343,26.9,46.3,44747,,
District of Columbia,3,5,11,111351,21.9,88.1,68973,,
Florida,3,5,12,377397,25.2,30.7,41249,,
Georgia,3,5,13,2067643,29.1,15.1,37254,,
Hawaii,4,9,15,232720,23.6,67.2,44504,,
Idaho,4,8,16,311906,26.8,36.2,34846,,
Illinois,2,3,17,2592853,28.1,58.7,46067,,
Indiana,2,3,18,1492605,31.4,27.1,37987,,
Iowa,2,4,19,693423,30.4,44.5,43458,,
Kansas,2,4,20,627084,29.9,43.0,43725,,
Kentucky,3,6,21,1048808,31.3,19.8,35814,,
Louisiana,3,7,22,1155621,34.7,22.3,40527,,
Maine,1,1,23,286908,28.4,11.2,39589,,
Maryland,3,5,24,1242751,27.6,50.8,53078,,
Massachusetts,1,1,25,1193048,22.9,49.3,56752,,
Michigan,2,3,26,2303685,31.1,36.9,38652,,
Minnesota,2,4,27,1041181,25.7,60.3,47293,,
Mississippi,3,6,28,760048,34.6,10.9,33127,,
Missouri,2,4,29,1365174,29.6,32.8,39905,,
Montana,4,8,30,185859,24.3,36.3,39102,,
Nebraska,2,4,31,395279,28.6,50.1,45578,,
Nevada,4,8,32,515754,26.2,38.6,39436,,
New Hampshire,1,1,33,274364,27.3,17.1,50546,,
New Jersey,1,2,34,1633276,24.6,45.1,55142,,
New Mexico,4,8,35,356345,27.1,37.3,35585,,
New York,1,2,36,3564869,23.6,51.6,53571,,
North Carolina,3,5,37,2094436,29.6,13.5,38655,,
North Dakota,2,4,38,157648,29.7,42.1,55388,,
Ohio,2,3,39,2609274,30.1,40.4,40329,,
Oklahoma,3,7,40,898600,32.3,33.4,41549,,
Oregon,4,9,41,765227,27.3,54.1,39083,,
Pennsylvania,1,2,42,2782229,29.1,35.0,45781,,
Rhode Island,1,1,44,210603,25.7,41.0,46084,,
South Carolina,3,5,45,1108431,31.6,12.9,35461,,
South Dakota,2,4,46,2396709,28.1,39.3,44792,,
Tennessee,3,6,47,1542526,31.1,17.5,39137,,
Texas,3,7,48,5204739,29.2,32.5,43505,,
Utah,4,8,49,467736,24.3,52.5,35995,,
Vermont,1,1,50,116741,23.7,13.9,44287,,
Virginia,3,5,51,1666682,27.4,31.0,49320,,
Washington,4,9,53,1396907,26.8,49.3,47344,,
West Virginia,3,5,54,486372,33.8,9.0,35374,,
Wisconsin,2,3,55,1248156,29.7,49.4,42463,,
Wyoming,4,8,56,112903,24.6,27.4,52154,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,