region,division,state,name,pctPark,income
3,6,1,Alabama,14.7,36036
4,9,2,Alaska,41.7,52269
4,8,4,Arizona,38,36788
3,7,5,Arkansas,15.3,36291
4,9,6,California,58.3,47614
4,8,8,Colorado,59.5,46402
1,1,9,Connecticut,34.6,62738
3,5,10,Delaware,46.3,44747
3,5,11,District of Columbia,88.1,68973
3,5,12,Florida,30.7,41249
3,5,13,Georgia,15.1,37254
4,9,15,Hawaii,67.2,44504
4,8,16,Idaho,36.2,34846
2,3,17,Illinois,58.7,46067
2,3,18,Indiana,27.1,37987
2,4,19,Iowa,44.5,43458
2,4,20,Kansas,43,43725
3,6,21,Kentucky,19.8,35814
3,7,22,Louisiana,22.3,40527
1,1,23,Maine,11.2,39589
3,5,24,Maryland,50.8,53078
1,1,25,Massachusetts,49.3,56752
2,3,26,Michigan,36.9,38652
2,4,27,Minnesota,60.3,47293
3,6,28,Mississippi,10.9,33127
2,4,29,Missouri,32.8,39905
4,8,30,Montana,36.3,39102
2,4,31,Nebraska,50.1,45578
4,8,32,Nevada,38.6,39436
1,1,33,New Hampshire,17.1,50546
1,2,34,New Jersey,45.1,55142
4,8,35,New Mexico,37.3,35585
1,2,36,New York,51.6,53571
3,5,37,North Carolina,13.5,38655
2,4,38,North Dakota,42.1,55388
2,3,39,Ohio,40.4,40329
3,7,40,Oklahoma,33.4,41549
4,9,41,Oregon,54.1,39083
1,2,42,Pennsylvania,35,45781
1,1,44,Rhode Island,41,46084
3,5,45,South Carolina,12.9,35461
2,4,46,South Dakota,39.3,44792
3,6,47,Tennessee,17.5,39137
3,7,48,Texas,32.5,43505
4,8,49,Utah,52.5,35995
1,1,50,Vermont,13.9,44287
3,5,51,Virginia,31,49320
4,9,53,Washington,49.3,47344
3,5,54,West Virginia,9,35374
2,3,55,Wisconsin,49.4,42463
4,8,56,Wyoming,27.4,52154