name,region,division,state,pctPark,
Alabama,3,6,1,14.7,
Alaska,4,9,2,41.7,
Arizona,4,8,4,38,
Arkansas,3,7,5,15.3,
California,4,9,6,58.3,
Colorado,4,8,8,59.5,
Connecticut,1,1,9,34.6,
Delaware,3,5,10,46.3,
District of Columbia,3,5,11,88.1,
Florida,3,5,12,30.7,
Georgia,3,5,13,15.1,
Hawaii,4,9,15,67.2,
Idaho,4,8,16,36.2,
Illinois,2,3,17,58.7,
Indiana,2,3,18,27.1,
Iowa,2,4,19,44.5,
Kansas,2,4,20,43,
Kentucky,3,6,21,19.8,
Louisiana,3,7,22,22.3,
Maine,1,1,23,11.2,
Maryland,3,5,24,50.8,
Massachusetts,1,1,25,49.3,
Michigan,2,3,26,36.9,
Minnesota,2,4,27,60.3,
Mississippi,3,6,28,10.9,
Missouri,2,4,29,32.8,
Montana,4,8,30,36.3,
Nebraska,2,4,31,50.1,
Nevada,4,8,32,38.6,
New Hampshire,1,1,33,17.1,
New Jersey,1,2,34,45.1,
New Mexico,4,8,35,37.3,
New York,1,2,36,51.6,
North Carolina,3,5,37,13.5,
North Dakota,2,4,38,42.1,
Ohio,2,3,39,40.4,
Oklahoma,3,7,40,33.4,
Oregon,4,9,41,54.1,
Pennsylvania,1,2,42,35,
Rhode Island,1,1,44,41,
South Carolina,3,5,45,12.9,
South Dakota,2,4,46,39.3,
Tennessee,3,6,47,17.5,
Texas,3,7,48,32.5,
Utah,4,8,49,52.5,
Vermont,1,1,50,13.9,
Virginia,3,5,51,31,
Washington,4,9,53,49.3,
West Virginia,3,5,54,9,
Wisconsin,2,3,55,49.4,
Wyoming,4,8,56,27.4,